name,stargazerCount,url,createdAt,releases,primaryLanguage,CBO,WMC,DIT,LOC
AndroidUtilCode,29036,https://github.com/Blankj/AndroidUtilCode,4,{'totalCount': 116},{'name': 'Java'},2.0,3.0,1.0,14.0
AndroidTutorialForBeginners,3489,https://github.com/hussien89aa/AndroidTutorialForBeginners,4,{'totalCount': 0},{'name': 'Java'},4.0,3.0,1.0,15.0
AndroidSwipeLayout,12009,https://github.com/daimajia/AndroidSwipeLayout,6,{'totalCount': 18},{'name': 'Java'},2.0,1.0,1.0,6.0
AndroidNote,8159,https://github.com/GcsSloop/AndroidNote,5,{'totalCount': 0},{'name': 'Java'},1.0,6.5,1.0,28.5
AndroidViewAnimations,11745,https://github.com/daimajia/AndroidViewAnimations,6,{'totalCount': 9},{'name': 'Java'},2.0,1.0,2.0,5.0
AndroidSlidingUpPanel,9232,https://github.com/umano/AndroidSlidingUpPanel,7,{'totalCount': 8},{'name': 'Java'},2.0,2.0,1.0,8.0
AndroidAsync,6963,https://github.com/koush/AndroidAsync,8,{'totalCount': 0},{'name': 'Java'},2.0,2.0,1.0,8.0
AndroidAutoSize,11278,https://github.com/JessYanCoding/AndroidAutoSize,2,{'totalCount': 14},{'name': 'Java'},4.0,4.0,1.0,15.0
AndroidAutoLayout,6726,https://github.com/hongyangAndroid/AndroidAutoLayout,5,{'totalCount': 0},{'name': 'Java'},5.0,5.5,2.0,27.0
lottie-android,30845,https://github.com/airbnb/lottie-android,4,{'totalCount': 29},{'name': 'Java'},4.0,5.0,1.0,19.0
